Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Pompei North Apartments,NY06T851027,"143 Mary St, Syracuse, 13208",Onondaga,Christopher Community Inc,Pompei HDFC Inc,ROS,,,48,129,22,36067001400,,SYRACUSE CITY SD,421800,43.06408032,-76.15077314,800015672,406299.4740149267,4768573.405658052
Pontiac Terrace Apts,NY06H108036,"225 W First St, Oswego, 13126",Oswego,Housing Management Resources Inc.,Conifer Oswego Associates,ROS,,,50,120,24,36075021601,,OSWEGO CITY SD,461300,43.45518629,-76.50995367,800015673,377837.7763843192,4812471.748458967
Port Jervis Senior Citizens Apts,NY360006058,"230 Jersey Ave, Port Jervis, 12771",Orange,RA Management LLC,"PJ Housing Preservation, L.P.",ROS,,,42,98,18,36071002200,,PORT JERVIS CITY SD,441800,41.36524354,-74.68460727,800015674,526378.0632548649,4579351.828178888
Post Street Apartments,NY36A019002,"45-51 Post Street, Yonkers, 10705",Westchester,Metropolitan Realty Group LLC,45-51 Post Street LLC,ROS,,,35,89,16,36119000204,,YONKERS CITY SD,662300,40.92035014,-73.89884142,800015675,592721.3396107333,4530498.883988686
Postgraduate Center Residence,NY36T801056,"516 W 50th St, New York, 10019",New York,"Postgraduate Center Residence, Inc.","Postgraduate Center Residence, Inc.",NYC,1079255,1010780043,47,67,12,36061012902,,NYC GEOG DIST # 2 - MANHATTAN,310200,40.76501986,-73.992836,800015676,585004.79561779,4513160.436475446
Postgraduate Center Residence II,NY36T871021,"126 La Salle St., New York, 10027",New York,"Postgraduate Center Residence, Inc.","Postgraduate Center Residence II of NY, Inc.",NYC,1059844,1019930040,30,69,13,36061021100,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81391533,-73.96037717,800015677,587680.0235609314,4518620.186181471
Midtown Apts,NY02R000005,"28 Munson St, Potsdam, 13676",St. Lawrence,VIL. POTSDAM HSG. AUTHORITY,Potsdam Sandstone Senior Citizens Club,ROS,,,45,116,21,36089490800,,POTSDAM CSD,512902,44.67120556,-74.9838629,800015679,501279.1032577577,4946426.68787034
Maplewood  Apartments,NY36H108060,"20-A Maple St, Poughkeepsie, 12601",Dutchess,"The Boston Land Company Management Services, Inc.",The Maplewood Company,ROS,,,39,104,18,36027220300,,POUGHKEEPSIE CITY SD,131500,41.700975,-73.912259,800015680,590505.2747788628,4617148.239873697
Poughkeepsie Village Senior Citizens Apts,NY360018010,"37 N. Perry St., Box 52, Poughkeepsie, 12601",Dutchess,"CCI, Inc. (FKA California Commercial Investment Group, Inc.)","15037 Victory, LLC",ROS,,,39,104,18,36027220101,,POUGHKEEPSIE CITY SD,131500,41.70675647,-73.93334129,800015681,588743.1521398434,4617768.187574972
Alberta L Alston House,NY362553201,"52-09 99th St, Corona, 11368",Queens,"Metro Management Development, Inc.",Presbyterian HDFC of Queens,NYC,4047515,4019320009,13,39,14,36081044301,,NYC GEOG DIST #24 - QUEENS,342400,40.740938,-73.860832,800015682,596180.8614161976,4510623.4332897635
